Даниссимо Лесные ягоды;4.7;5.4;17.2;136
Даниссимо Малина-земляника;4.7;5.4;16;131
Даниссимо с хрустящими шариками;4.9;7.3;16.5;151
Даниссимо с хрустящими шариками Ванильный;4.9;7.3;16.5;151
Даниссимо Черника;4.7;5.4;16.5;134
Даниссимо Шоколад;5;7.1;16;148
Даниссимо Яблочный пирог;4.7;5.4;13.6;122
Десерт Вафельный рожок;3;4;22;135
Десерт Вишнёвый пирожок;2;12;29;230
Десерт итальянский Флоренция карамельный;3.6;17.2;53;376
Десерт Макфлурри Де Люкс карамельно-шоколадный;6;10;60;375
Десерт Макфлурри Де Люкс клубнично-шоколадный;6;8;54;330
Десерт Макфлурри с рисовыми шариками;6;8;56;340
Десерт Макфлурри с шоколадно-вафельной крошкой;6;8;40;280
Десерт Маффин с чёрной смородиной;7;31;40;470
Десерт Маффин с шоколадом;7;32;41;480
Десерт Мороженое с карамелью;5;9;58;335
Десерт Мороженое с клубникой;5;7;48;275
Десерт Мороженое с шоколадом;6;11;50;325
Джин;0;0;0;220
Дичь;34;6.5;0;200
Дорадо терияки;9.9;5.7;3.4;105
Драже арахис с мёдом и кунжутом;16.8;36.4;33.4;528
Драже Грильяж в шоколаде;5.7;16.7;70.1;445
Драже жевательные Mentos;0;2;93;390
Драже Изюм в шоколаде;3.6;8.9;73.2;379
Драже ореховое;11.9;38.3;44.2;552
Драже Тик Так;0.2;0.6;96.7;397
Драже фруктовое в шоколаде;3.7;10.2;76.3;389
Дрожжи;12.7;2.7;0;75
Душица;1.5;0;5;25
Дыня;0.6;0.3;7.4;33
Ежевика;2;0;6.4;31
Желатин пищевой;87.2;0.4;0.7;355
Жерех;18.8;2.6;0;98
Жимолость;0;0;8;30
Жир бараний топлёный;0;99.7;0;897
Жир говяжий топлёный;0;99.7;0;897
Жир из печени трески;0;99.8;0;898
Жир кондитерский для шоколадных изделий;0;99.7;0;897
Жир кондитерский твердый;0;99.8;0;898
Жир костный топлёный;0;99.7;0;897
Жир кулинарный;0;99.7;0;897
Жир куриный;0;99.7;0;897
Жир свиной топлёный;0;99.6;0;896
Завтрак двойной МакМаффин с яйцом и свиной котлетой;39;33;41;615
Завтрак двойной Фреш МакМаффин;28;36;29;550
Завтрак МакМаффин с яйцом и беконом;18;14;26;305
Завтрак МакМаффин с яйцом и свиной котлетой;26;21;33;425
Завтрак МакМаффин с яйцом и сыром;16;12;26;275
Завтрак МакМаффин со свиной котлетой;19;15;33;345
Завтрак МакТост;11;9;28;235
Завтрак МакТост с ветчиной;14;10;28;260
Завтрак Фреш МакМаффин;19;18;35;380
Завтрак Хашбраун;1;8;16;140
Завтрак Чикен Фреш МакМаффин;13;15;42;355
Запеканка творожная;17.6;4.2;14.2;168
Заправка Сэн Сой для фунчозы по-корейски;1.3;55;10.1;541
Зелёная стручковая фасоль замороженная;1.9;0.2;7.6;28
Зелёная фасоль резаная;1.4;0.2;4.4;25
Зелёный горошек замороженный;6.9;0.4;19.4;85
Зелёный горошек Нежный;5;0.3;10.7;66
Зелёный горошек с молодой морковью;3.3;0.5;9.3;54
Зелёный горошек с морковью в кубиках;3;0.2;10;53
Зельц;12.6;32;0.5;336
Земляника;0.8;0.4;11.2;34
Зефир;0.8;0;78.5;304
Зира;12;5;32;112
Зубан;18.8;6.3;0;131
Зубатка жареная;22.2;11.5;4.1;209
Зубатка запеченная;7.4;8.8;6.8;137
Зубатка отварная;15.5;5.8;0;114
Зубатка пёстрая;19.6;5.3;0;126
Зубатка полосатая;16;5;0;109
Изюм;2.9;0.6;66;264
Изюм кишмиш;2.3;0;71.2;279
Ика фурай;8.2;4.6;10;115
Икра белужья зернистая;27.2;14.2;0;237
Икра горбуши зернистая;31.2;11.7;0;230
Икра кеты зернистая;31.6;13.8;0;251
Икра лещевая пробойная;24.7;4.8;0;142
Икра лососевая зернистая;32;15;0;245
Икра минтаевая пробойная;28.4;1.9;0;131
Икра минтаевая пробойная соленая;23;4;0;128
Икра осетровая зернистая;28;9.7;0;203
Икра осетровая паюсная;36;10.2;0;236
Икра осетровая пробойная;36;10.2;0;235
Икра севрюжья зернистая;28.4;11.9;0;221
Икра трески;24;0.2;0;115
Икра трески консервированная;19;11;1;179
Икра щучья;17.3;2;0;87
Имбирь;1.8;0.8;15.8;80
Имбирь маринованный;0.2;0.3;12.5;51
Имбирь сухой;9.1;6;70.8;347
Индейка (грудка);19.2;0.7;0;84
Индейка (крылышки);16.5;11.4;0;168
Индейка (ножки);15.7;8.9;0;142
Индейка (окорочка);18.4;6.4;0;131
Индейка вареная;25.3;10.4;0;195
Индейка жареная;28;6;0;165
Инжир;0.7;0.2;13.7;49
Йогурт Total 0%;10.3;0;4;57
Йогурт Активиa Вишня;3.8;2.9;17.4;111
Йогурт Активиa Клубника;3.8;2.9;14.1;98
Йогурт Активиa Мюсли;3.8;3.2;15.8;107
Йогурт Активиa Мюсли и киви;3.8;3;15.8;105
Йогурт Активиa Мюсли и персик;3.8;3.2;15.8;107
Йогурт Активиa Натуральный;4.5;3.5;6.3;75
Йогурт Активиa Отруби и злаки;3.8;2.9;14;97
Йогурт Активиa Чернослив;3.8;2.9;14.5;99
Йогурт Био Баланс Зелёный чай-лимон;3.1;1.5;12.8;77
Йогурт Био Баланс Злаки;3.1;1.5;12.6;76
Йогурт Био Баланс Клубника;3.1;1.5;14.1;82
Йогурт Био Баланс Черника-злаки;3.1;1.5;13.1;78
Йогурт Био Баланс Чернослив;3.1;1.5;13;78
Йогурт Данон Вишня и черешня;2.9;1.6;15.7;89
Йогурт Данон Клубника;2.8;1.5;14.5;83
Йогурт Данон Персик и маракуйя;2.8;1.5;14.5;83
Йогурт Данон Черника;2.8;1.5;14.5;83
Йогурт натуральный 2%;4.3;2;6.2;60
Йогурт натуральный 3.2%;5;3.2;3.5;66
Йогурт Растишка с бананом и печеньем;3.8;3;16.5;108
Йогурт Растишка с земляникой;2.9;1.6;15.6;88
Йогурт Растишка с клубникой и печеньем;3.8;3;16.5;108
Йогурт Растишка с лесными ягодами;2.9;1.6;15.6;88
Йогурт Растишка с мякотью вишни;2.9;1.6;15.5;89
Йогурт Растишка с мякотью клубники;2.9;1.6;15.4;88
Йогурт Растишка с мякотью персика и абрикоса;2.9;1.6;15.6;88
Йогурт Растишка с печеньем;2.9;1.6;15.2;86
Йогурт Растишка с черникой;2.9;1.6;15.6;88
Йогурт фруктовый 1.5%;3.7;1.5;8.9;63
Йогурт фруктовый 3.2%;5;3.2;8.5;85
Йогурт Чудо Двойной вкус Вишня-Черешня;2.8;2.4;14.7;92
Йогурт Чудо Двойной вкус Клубника-Земляника;2.8;2.4;14.7;92
Йогурт Чудо Двойной вкус Малина-Черника;2.8;2.4;14.7;92
Йогурт Чудо Двойной вкус Манго-Дыня;2.8;2.4;14.7;92
Йогурт Чудо Двойной вкус Персик-Абрикос;2.8;2.4;14.7;92
Йогурт Чудо Лесные ягоды;2.8;2.4;14.5;91
Йогурт Чудо Яблоко-Мюсли;2.8;2.5;15.5;96
Ирга;0;0;12;45
Ирис Meller Капучино;3;8.6;80.3;414
Ирис Meller Пралине;3;8.6;80.3;414
Ирис Meller Тёмный шоколад;3;6.6;79.2;396
Ирис Meller Шоколад;3;8.6;79.2;410
Итальянский пай с начинкой вишня;5;12.8;61.2;382
Итальянский пай с начинкой лимон;5;12.8;60.5;380
Итальянский пай с начинкой черника;5;12.8;60.5;378
Кабачковая икра;1.2;7;7.4;97
Кабачок;0.6;0.3;5.2;23
Кабачок жареный;1.1;6;6.7;88
Какао тёртое;13.5;54;17.8;607
Какао-порошок;24.2;17.5;31.9;374
Калина;0;0;7;26
Кальмары жареные;9.9;14.4;1.4;175
Кальмары отварные;18;4.2;0;110
Кальмары свежие;18;0.3;0;74
Камбала горячего копчения;22;11.6;0;192
Камбала отварная;18.3;3.3;0;103
Камбала свежая;16.5;1.8;0;83
Кани гуриру;7;11.6;17.2;201
Кани муни;6.1;5.8;11;121
Капуста белокочанная;1.8;0.1;6.8;27
Капуста белокочанная жареная;1.8;2.8;4.2;49
Капуста брокколи;3;0.4;5.2;28
Капуста брокколи варёная;3;0.4;4;27
Капуста брокколи замороженная;2.7;0.4;4.7;24
Капуста брюссельская;4.8;0;8;43
Капуста брюссельская замороженная;4.5;0.5;8.4;36
Капуста квашеная;1.8;0.1;4.4;19
Капуста кольраби;2.8;0;10.7;42
Капуста краснокочанная;0.8;0;7.6;24
Капуста пекинская;1.2;0.2;3.2;12
Капуста Романеско;2.9;0.5;2.2;25
Капуста цветная;2.5;0.3;5.4;30
Капуста цветная варёная;1.8;0.3;4;29
Капуста цветная жареная;3;10;5.7;120
Каравай Праздничный;7.7;6.3;45.9;276
Карамбола;1;0;7;31
